NUM_HOLES,WIDTH,HEIGHT,TOOL_TYPES,TOOL_COUNTS,Algorithm,Cost,Time(s),Peak Memory(KB)
200,500,500,"['M4', 'M8']","{'M4': 102, 'M8': 98}",Greedy Algorithm,460.3356077613046,0.016633300001558382,10.2890625
200,500,500,"['M4', 'M8']","{'M4': 102, 'M8': 98}",Tool-Bundled 2-Opt,457.6664907254306,20.27800710000156,13.7109375
200,500,500,"['M4', 'M8']","{'M4': 102, 'M8': 98}",State-Aware 2-Opt,406.51750845128595,62.15268709999509,13.4765625
200,500,500,"['M4', 'M8']","{'M4': 102, 'M8': 98}",Held-Karp (Optimal),nan,nan,nan
200,500,500,"['M4', 'M8']","{'M4': 102, 'M8': 98}",Proposed Method,412.17059621631535,13.149905300000682,443.6767578125
200,500,500,"['M4', 'M8']","{'M4': 102, 'M8': 98}",1-Tree Lower Bound,372.89727485575554,5.435561999998754,804.38671875
