NUM_HOLES,WIDTH,HEIGHT,TOOL_TYPES,TOOL_COUNTS,Algorithm,Cost,Time(s),Peak Memory(KB)
5,500,500,"['M4', 'M8']",{'M4': 5},Greedy Algorithm,46.86500635329115,3.2999996619764715e-05,1.1875
5,500,500,"['M4', 'M8']",{'M4': 5},Tool-Bundled 2-Opt,52.66080713108562,7.890000415500253e-05,2.4296875
5,500,500,"['M4', 'M8']",{'M4': 5},State-Aware 2-Opt,45.2200741726471,6.829999620094895e-05,1.375
5,500,500,"['M4', 'M8']",{'M4': 5},Held-Karp (Optimal),45.2200741726471,0.000247800002398435,6.171875
5,500,500,"['M4', 'M8']",{'M4': 5},Proposed Method,45.2200741726471,0.00028440000460250303,6.4921875
5,500,500,"['M4', 'M8']",{'M4': 5},1-Tree Lower Bound,45.2200741726471,0.00011500000255182385,1.9375
