NUM_HOLES,WIDTH,HEIGHT,TOOL_TYPES,TOOL_COUNTS,Algorithm,Cost,Time(s),Peak Memory(KB)
10,500,500,"['M4', 'M8']","{'M4': 7, 'M8': 3}",Greedy Algorithm,75.29966162901755,6.36000040685758e-05,0.8984375
10,500,500,"['M4', 'M8']","{'M4': 7, 'M8': 3}",Tool-Bundled 2-Opt,106.57636898601532,0.00023379999765893444,1.15625
10,500,500,"['M4', 'M8']","{'M4': 7, 'M8': 3}",State-Aware 2-Opt,72.86416062679326,0.0004002999994554557,1.083984375
10,500,500,"['M4', 'M8']","{'M4': 7, 'M8': 3}",Held-Karp (Optimal),72.86416062679326,0.03802219999488443,305.9521484375
10,500,500,"['M4', 'M8']","{'M4': 7, 'M8': 3}",Proposed Method,83.23118101688974,0.00448820000019623,17.7060546875
10,500,500,"['M4', 'M8']","{'M4': 7, 'M8': 3}",1-Tree Lower Bound,72.86416062679328,0.00016090000281110406,1.5234375
