NUM_HOLES,WIDTH,HEIGHT,TOOL_TYPES,TOOL_COUNTS,Algorithm,Cost,Time(s),Peak Memory(KB)
1000,500,500,"['M4', 'M8']","{'M4': 508, 'M8': 492}",Greedy Algorithm,1077.9476333859657,0.419722600003297,61.20703125
1000,500,500,"['M4', 'M8']","{'M4': 508, 'M8': 492}",Tool-Bundled 2-Opt,nan,nan,nan
1000,500,500,"['M4', 'M8']","{'M4': 508, 'M8': 492}",State-Aware 2-Opt,nan,nan,nan
1000,500,500,"['M4', 'M8']","{'M4': 508, 'M8': 492}",Held-Karp (Optimal),nan,nan,nan
1000,500,500,"['M4', 'M8']","{'M4': 508, 'M8': 492}",Proposed Method,980.4290963164376,91.75372580000112,685.6943359375
1000,500,500,"['M4', 'M8']","{'M4': 508, 'M8': 492}",1-Tree Lower Bound,867.1745911887011,444.94565619999776,19690.046875
