NUM_HOLES,WIDTH,HEIGHT,TOOL_TYPES,TOOL_COUNTS,Algorithm,Cost,Time(s),Peak Memory(KB)
2000,500,500,"['M4', 'M8']","{'M4': 1019, 'M8': 981}",Greedy Algorithm,1542.737692453708,1.5194633999999496,191.70703125
2000,500,500,"['M4', 'M8']","{'M4': 1019, 'M8': 981}",Tool-Bundled 2-Opt,nan,nan,nan
2000,500,500,"['M4', 'M8']","{'M4': 1019, 'M8': 981}",State-Aware 2-Opt,nan,nan,nan
2000,500,500,"['M4', 'M8']","{'M4': 1019, 'M8': 981}",Held-Karp (Optimal),nan,nan,nan
2000,500,500,"['M4', 'M8']","{'M4': 1019, 'M8': 981}",Proposed Method,1428.1077986212745,2017.6208535000042,1401.861328125
2000,500,500,"['M4', 'M8']","{'M4': 1019, 'M8': 981}",1-Tree Lower Bound,1265.6415800932218,1912.0681127999997,78453.78515625
