N,greedy_distance,two_opt_distance,held_karp_distance,proposed_distance,greedy_time_s,two_opt_time_s,held_karp_time_s,proposed_time_s,greedy_mem_kb,two_opt_mem_kb,held_karp_mem_kb,proposed_mem_kb,hole_gen_time_s,hole_gen_mem_kb,2opt_iterations
10,598.9681031302368,582.2613886558782,582.2613886558782,582.2613886558782,0.000262599962297827,0.0006089999806135893,0.02079020004021004,0.03316310001537204,1.478515625,3.646484375,855.248046875,741.23046875,7.41000403650105e-05,1.2421875,3
20,863.7368991886938,737.3810597156825,737.3810597156825,737.3810597156825,0.00025759998243302107,0.005950800026766956,85.91140420001466,4.784418899973389,0.798828125,0.958984375,1748896.810546875,44049.857421875,9.059999138116837e-05,0.234375,8
50,1655.4484817801317,1206.2062718914299,,1219.0887330395997,0.0021087999921292067,0.575663199997507,,3.0102946999832056,1.091796875,1.955078125,,43694.7421875,0.0006930999807082117,0.640625,31
100,2112.840083817711,1709.068716464465,,1704.4652615378548,0.002795000036712736,7.284446999954525,,3.570982500037644,1.529296875,3.375,,43687.1484375,0.0034576000180095434,3.421875,46
300,3414.140909091198,2931.185265148912,,2976.6161561857157,0.029751499998383224,273.4145715999766,,158.91743699996732,3.8984375,9.6796875,,43815.5712890625,0.042498999973759055,14.41015625,103
1000,7054.302877654365,,,5912.936072080429,0.3382833999930881,,,181.6531393000041,12.16796875,,,43857.1865234375,0.6906945999944583,53.41015625,103
